program_id,claim_type,claim_question,atom_id,evidence_span,proposed_direction,evidence_available,current_source_links,needed_primary_sources,source_type,primary_source_link,observed_vs_inferred,evidence_tier,direction,likelihood_ratio,limitations,extraction_review_status,review_status,reviewer,review_date
idelalisib_fl_sll,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,idelalisib_fl_sll:ther:1,Need primary FDA source.,neutral,"PRE-DECISION CANDIDATE: Label/review summaries included serious and fatal toxicities including hepatotoxicity, severe diarrhea/colitis, pneumonitis, intestinal perforation and REMS/risk management. Need primary FDA source.",https://en.wikipedia.org/wiki/Idelalisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
taselisib_sandpiper,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,taselisib_sandpiper:ther:0,PRE-DECISION CANDIDATE: SANDPIPER program had expected PI3K inhibitor toxicities;,refuting,PRE-DECISION CANDIDATE: SANDPIPER program had expected PI3K inhibitor toxicities; public summaries cite poor survival edge/harsh side effects and Roche stopped further development after top-line Phase 3 results. Need primary SANDPIPER publication extraction.,https://en.wikipedia.org/wiki/Taselisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
taselisib_sandpiper,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,taselisib_sandpiper:ther:1,public summaries cite poor survival edge/harsh side effects and Roche stopped further development after top-line Phase 3 results.,neutral,PRE-DECISION CANDIDATE: SANDPIPER program had expected PI3K inhibitor toxicities; public summaries cite poor survival edge/harsh side effects and Roche stopped further development after top-line Phase 3 results. Need primary SANDPIPER publication extraction.,https://en.wikipedia.org/wiki/Taselisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
taselisib_sandpiper,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,taselisib_sandpiper:ther:2,Need primary SANDPIPER publication extraction.,neutral,PRE-DECISION CANDIDATE: SANDPIPER program had expected PI3K inhibitor toxicities; public summaries cite poor survival edge/harsh side effects and Roche stopped further development after top-line Phase 3 results. Need primary SANDPIPER publication extraction.,https://en.wikipedia.org/wiki/Taselisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
buparlisib_belle,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,buparlisib_belle:ther:0,PRE-DECISION CANDIDATE: Pan-PI3K profile associated with excessive side effects;,neutral,"PRE-DECISION CANDIDATE: Pan-PI3K profile associated with excessive side effects; BELLE-2/3 summaries report PFS signal but excessive toxicity, and BELLE-3 termination due to side effects. Need trial publication review.",https://en.wikipedia.org/wiki/Buparlisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
buparlisib_belle,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,buparlisib_belle:ther:1,"BELLE-2/3 summaries report PFS signal but excessive toxicity, and BELLE-3 termination due to side effects.",refuting,"PRE-DECISION CANDIDATE: Pan-PI3K profile associated with excessive side effects; BELLE-2/3 summaries report PFS signal but excessive toxicity, and BELLE-3 termination due to side effects. Need trial publication review.",https://en.wikipedia.org/wiki/Buparlisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
buparlisib_belle,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,buparlisib_belle:ther:2,Need trial publication review.,neutral,"PRE-DECISION CANDIDATE: Pan-PI3K profile associated with excessive side effects; BELLE-2/3 summaries report PFS signal but excessive toxicity, and BELLE-3 termination due to side effects. Need trial publication review.",https://en.wikipedia.org/wiki/Buparlisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
poziotinib_exon20_nsclc,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,poziotinib_exon20_nsclc:ther:0,"PRE-DECISION CANDIDATE: Prior public data showed antitumor activity, but ODAC judged risk-benefit unfavorable;",confirming,"PRE-DECISION CANDIDATE: Prior public data showed antitumor activity, but ODAC judged risk-benefit unfavorable; need FDA briefing to quantify rash/diarrhea/mucositis/dose reductions and whether dose intensity limited efficacy.",https://en.wikipedia.org/wiki/Spectrum_Pharmaceuticals; https://en.wikipedia.org/wiki/Poziotinib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
poziotinib_exon20_nsclc,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,poziotinib_exon20_nsclc:ther:1,need FDA briefing to quantify rash/diarrhea/mucositis/dose reductions and whether dose intensity limited efficacy.,neutral,"PRE-DECISION CANDIDATE: Prior public data showed antitumor activity, but ODAC judged risk-benefit unfavorable; need FDA briefing to quantify rash/diarrhea/mucositis/dose reductions and whether dose intensity limited efficacy.",https://en.wikipedia.org/wiki/Spectrum_Pharmaceuticals; https://en.wikipedia.org/wiki/Poziotinib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
mobocertinib_exclaim2,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,mobocertinib_exclaim2:ther:0,PRE-DECISION CANDIDATE: Label summaries included QTc prolongation warnings and prominent GI toxicity/diarrhea risk.,refuting,PRE-DECISION CANDIDATE: Label summaries included QTc prolongation warnings and prominent GI toxicity/diarrhea risk. Need EXCLAIM-2 protocol/publication to determine whether tolerated exposure was the core failure vs efficacy/differentiation.,https://en.wikipedia.org/wiki/Mobocertinib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
mobocertinib_exclaim2,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,mobocertinib_exclaim2:ther:1,Need EXCLAIM-2 protocol/publication to determine whether tolerated exposure was the core failure vs efficacy/differentiation.,refuting,PRE-DECISION CANDIDATE: Label summaries included QTc prolongation warnings and prominent GI toxicity/diarrhea risk. Need EXCLAIM-2 protocol/publication to determine whether tolerated exposure was the core failure vs efficacy/differentiation.,https://en.wikipedia.org/wiki/Mobocertinib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
rovalpituzumab_tesirine_rova_t,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,rovalpituzumab_tesirine_rova_t:ther:0,PRE-DECISION CANDIDATE: ADC/PBD payload class toxicity and earlier weak response signal;,refuting,PRE-DECISION CANDIDATE: ADC/PBD payload class toxicity and earlier weak response signal; public summaries cite Phase 2 ORR around 16% and later Phase 3 survival harm/no benefit. Need primary TAHOE/MERU safety tables.,https://en.wikipedia.org/wiki/Rovalpituzumab_tesirine,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
rovalpituzumab_tesirine_rova_t,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,rovalpituzumab_tesirine_rova_t:ther:1,public summaries cite Phase 2 ORR around 16% and later Phase 3 survival harm/no benefit.,refuting,PRE-DECISION CANDIDATE: ADC/PBD payload class toxicity and earlier weak response signal; public summaries cite Phase 2 ORR around 16% and later Phase 3 survival harm/no benefit. Need primary TAHOE/MERU safety tables.,https://en.wikipedia.org/wiki/Rovalpituzumab_tesirine,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
rovalpituzumab_tesirine_rova_t,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,rovalpituzumab_tesirine_rova_t:ther:2,Need primary TAHOE/MERU safety tables.,neutral,PRE-DECISION CANDIDATE: ADC/PBD payload class toxicity and earlier weak response signal; public summaries cite Phase 2 ORR around 16% and later Phase 3 survival harm/no benefit. Need primary TAHOE/MERU safety tables.,https://en.wikipedia.org/wiki/Rovalpituzumab_tesirine,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
demcizumab_yosemite_denali,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,demcizumab_yosemite_denali:ther:0,PRE-DECISION CANDIDATE: DLL4/Notch inhibition had known cardiovascular/pulmonary-hypertension monitoring concern;,neutral,PRE-DECISION CANDIDATE: DLL4/Notch inhibition had known cardiovascular/pulmonary-hypertension monitoring concern; Phase 1/2 summaries mention hypertension/fatigue and cardiac-related illness. Need OncoMed primary release and trial tables.,https://en.wikipedia.org/wiki/Demcizumab,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
demcizumab_yosemite_denali,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,demcizumab_yosemite_denali:ther:1,Phase 1/2 summaries mention hypertension/fatigue and cardiac-related illness.,neutral,PRE-DECISION CANDIDATE: DLL4/Notch inhibition had known cardiovascular/pulmonary-hypertension monitoring concern; Phase 1/2 summaries mention hypertension/fatigue and cardiac-related illness. Need OncoMed primary release and trial tables.,https://en.wikipedia.org/wiki/Demcizumab,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
demcizumab_yosemite_denali,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,demcizumab_yosemite_denali:ther:2,Need OncoMed primary release and trial tables.,neutral,PRE-DECISION CANDIDATE: DLL4/Notch inhibition had known cardiovascular/pulmonary-hypertension monitoring concern; Phase 1/2 summaries mention hypertension/fatigue and cardiac-related illness. Need OncoMed primary release and trial tables.,https://en.wikipedia.org/wiki/Demcizumab,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
figitumumab_nsclc,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,figitumumab_nsclc:ther:0,PRE-DECISION CANDIDATE: IGF-1R antibody had class and combination-toxicity concerns;,refuting,PRE-DECISION CANDIDATE: IGF-1R antibody had class and combination-toxicity concerns; need Pfizer/phase III source to confirm whether excess deaths were treatment-exposure related vs disease imbalance.,https://en.wikipedia.org/wiki/Figitumumab,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
figitumumab_nsclc,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,figitumumab_nsclc:ther:1,need Pfizer/phase III source to confirm whether excess deaths were treatment-exposure related vs disease imbalance.,neutral,PRE-DECISION CANDIDATE: IGF-1R antibody had class and combination-toxicity concerns; need Pfizer/phase III source to confirm whether excess deaths were treatment-exposure related vs disease imbalance.,https://en.wikipedia.org/wiki/Figitumumab,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
rilotumumab_rilotumumab_gastric,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,rilotumumab_rilotumumab_gastric:ther:0,PRE-DECISION CANDIDATE: Prior biomarker hypothesis and chemotherapy-combination exposure existed;,neutral,PRE-DECISION CANDIDATE: Prior biomarker hypothesis and chemotherapy-combination exposure existed; need RILOMET primary materials to determine whether increased deaths imply therapeutic-window failure.,https://en.wikipedia.org/wiki/Rilotumumab,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
rilotumumab_rilotumumab_gastric,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,rilotumumab_rilotumumab_gastric:ther:1,need RILOMET primary materials to determine whether increased deaths imply therapeutic-window failure.,refuting,PRE-DECISION CANDIDATE: Prior biomarker hypothesis and chemotherapy-combination exposure existed; need RILOMET primary materials to determine whether increased deaths imply therapeutic-window failure.,https://en.wikipedia.org/wiki/Rilotumumab,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
melflufen_myeloma_ocean,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,melflufen_myeloma_ocean:ther:0,PRE-DECISION CANDIDATE: Accelerated approval based on single-arm HORIZON response in heavily pretreated MM;,neutral,"PRE-DECISION CANDIDATE: Accelerated approval based on single-arm HORIZON response in heavily pretreated MM; known adverse reactions included fatigue, nausea, diarrhea, fever/infections; need FDA label/ODAC to quantify myelosuppression and subgroup safety before OCEAN.",https://en.wikipedia.org/wiki/Melphalan_flufenamide,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
melflufen_myeloma_ocean,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,melflufen_myeloma_ocean:ther:1,"known adverse reactions included fatigue, nausea, diarrhea, fever/infections;",neutral,"PRE-DECISION CANDIDATE: Accelerated approval based on single-arm HORIZON response in heavily pretreated MM; known adverse reactions included fatigue, nausea, diarrhea, fever/infections; need FDA label/ODAC to quantify myelosuppression and subgroup safety before OCEAN.",https://en.wikipedia.org/wiki/Melphalan_flufenamide,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
melflufen_myeloma_ocean,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,melflufen_myeloma_ocean:ther:2,need FDA label/ODAC to quantify myelosuppression and subgroup safety before OCEAN.,neutral,"PRE-DECISION CANDIDATE: Accelerated approval based on single-arm HORIZON response in heavily pretreated MM; known adverse reactions included fatigue, nausea, diarrhea, fever/infections; need FDA label/ODAC to quantify myelosuppression and subgroup safety before OCEAN.",https://en.wikipedia.org/wiki/Melphalan_flufenamide,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
alisertib_ptcl,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,alisertib_ptcl:ther:0,PRE-DECISION CANDIDATE: Aurora A inhibition and cytopenia/GI toxicity risks;,refuting,PRE-DECISION CANDIDATE: Aurora A inhibition and cytopenia/GI toxicity risks; prior studies showed activity but need Phase 3 source to verify toxicity-limited dose vs efficacy failure.,https://en.wikipedia.org/wiki/Alisertib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
alisertib_ptcl,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,alisertib_ptcl:ther:1,prior studies showed activity but need Phase 3 source to verify toxicity-limited dose vs efficacy failure.,refuting,PRE-DECISION CANDIDATE: Aurora A inhibition and cytopenia/GI toxicity risks; prior studies showed activity but need Phase 3 source to verify toxicity-limited dose vs efficacy failure.,https://en.wikipedia.org/wiki/Alisertib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
cediranib_glioblastoma,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,cediranib_glioblastoma:ther:0,PRE-DECISION CANDIDATE: VEGFR inhibitor with known hypertension/diarrhea/fatigue class toxicities;,refuting,PRE-DECISION CANDIDATE: VEGFR inhibitor with known hypertension/diarrhea/fatigue class toxicities; need trial publication to confirm whether therapeutic window was binding vs endpoint/efficacy.,https://en.wikipedia.org/wiki/Cediranib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
cediranib_glioblastoma,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,cediranib_glioblastoma:ther:1,need trial publication to confirm whether therapeutic window was binding vs endpoint/efficacy.,neutral,PRE-DECISION CANDIDATE: VEGFR inhibitor with known hypertension/diarrhea/fatigue class toxicities; need trial publication to confirm whether therapeutic window was binding vs endpoint/efficacy.,https://en.wikipedia.org/wiki/Cediranib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
sapanisertib_solid_tumors,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,sapanisertib_solid_tumors:ther:0,PRE-DECISION CANDIDATE: mTORC1/2 inhibition commonly has metabolic/stomatitis/rash toxicity;,refuting,PRE-DECISION CANDIDATE: mTORC1/2 inhibition commonly has metabolic/stomatitis/rash toxicity; need primary sources for dose reductions/discontinuations and whether exposure was constrained.,https://en.wikipedia.org/wiki/Phosphoinositide_3-kinase_inhibitor,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
sapanisertib_solid_tumors,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,sapanisertib_solid_tumors:ther:1,need primary sources for dose reductions/discontinuations and whether exposure was constrained.,refuting,PRE-DECISION CANDIDATE: mTORC1/2 inhibition commonly has metabolic/stomatitis/rash toxicity; need primary sources for dose reductions/discontinuations and whether exposure was constrained.,https://en.wikipedia.org/wiki/Phosphoinositide_3-kinase_inhibitor,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
parsaclisib_fl,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,parsaclisib_fl:ther:0,PRE-DECISION CANDIDATE: PI3K-delta class toxicity concern;,refuting,PRE-DECISION CANDIDATE: PI3K-delta class toxicity concern; seed cited colitis/safety issues but web review here did not find sufficient primary support. Needs manual verification.,REVIEW REQUIRED - primary source not found in this pass,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
