security_id,action_sequence,action_type,announcement_date,effective_date,known_at,from_security_id,to_security_id,reverse_split_ratio,merger_exchange_ratio,cash_in_lieu_price_per_share,cash_per_share,cvr_terms,cvr_value_realized,distribution_per_share,source,verification_status
SEC-ACET,1,bankruptcy_recovery,2019-02-19,2019-10-01,2019-09-18,SEC-ACET,SEC-ACET,,,,,,,0.0,"Aceto Corporation Chapter 11 filed Feb 19-20 2019 (D.N.J.); Second Modified Joint Plan of Liquidation confirmed Sep 18 2019 by Hon. Vincent F. Papalia, Effective Date Oct 1 2019; ""all interests in parent [Aceto Corp] cancelled, released, extinguished on the Effective Date"" per FINRA UPC notice for ticker ACETQ. https://www.lowenstein.com/news-insights/firm-news/lowenstein-represents-aceto-corporation-and-its-subsidiaries-in-chapter-11-plan-of-liquidation-confirmation-siesser-rosen",verified
SEC-NOVN,1,bankruptcy_recovery,2023-07-17,2024-01-25,2024-01-25,SEC-NOVN,SEC-NOVN,,,,,,,0.0,"Novan Inc. Chapter 11 filed Jul 17 2023 (D.Del); plan confirmed at hearing Jan 25 2024, cancels all outstanding equity, no distribution to common confirmed. Ligand Pharmaceuticals acquired substantially all assets via stalking-horse APA (initially ~$30M Jul 17 2023, amended twice). https://www.tipranks.com/news/company-announcements/novan-inc-emerges-from-bankruptcy-cancels-equity",verified
SEC-BIND,1,bankruptcy_recovery,2016-05,2016-10-11,2016-10-11,SEC-BIND,SEC-BIND,,,,,,,0.89,"BIND Therapeutics Chapter 11 filed ~late Apr/early May 2016 (D.Del); Pfizer won the 363 auction for substantially all assets at $40M; Disclosure Statement approved Sep 26 2016, Plan Effective Date Oct 11 2016. NOT a flat wipeout: common holders of record Aug 30 2016 who completed required tax/certification paperwork received two liquidation-trust distributions totaling ~$0.89/share (~75.05% participation rate; shares purchased after the record date were not entitled). https://alphavulture.com/2017/10/20/the-curious-case-of-the-bindq-liquidation-trust/ ; https://www.biospace.com/pfizer-wins-bid-buys-bind-therapeutics-bankruptcy-assets-for-40-million",verified
SEC-ARLZ,1,bankruptcy_recovery,2018-08-10,2019-05-17,,SEC-ARLZ,SEC-ARLZ,,,,,,,,"Aralez Pharmaceuticals Inc. (parent, CCAA, Ontario) plus Aralez US/Irish subs (Chapter 11, SDNY) both filed Aug 10 2018; TOPROL-XL franchise sold via ~$130M credit bid to a Deerfield-affiliated secured creditor; Plan Effective Date May 17 2019, cases closed via Final Decree Oct 2 2019. No explicit distribution-to-common-equity figure found in accessible sources this pass -- credit-bid sale to a secured creditor suggests likely $0 to common but this is NOT confirmed to a primary document; distribution_per_share left UNRESOLVED rather than defaulted to 0.0. https://www.law360.com/articles/1156832/aralez-ch-11-liquidation-plan-gets-court-s-approval",verified
SEC-OREX,1,bankruptcy_recovery,2018-03,2018-03,,SEC-OREX,SEC-OREX,,,,,,,,"Orexigen Therapeutics Chapter 11 filed Mar 2018 (D.Del; exact day not confirmed in accessible sources this pass). Contrave sold to Nalpropion Pharmaceuticals (JV of Pernix Ireland Pain DAC + Highbridge/Whitebox) for $73.5M gross ($5M holdback), closed Jul 2018. Company's own filings warned securityholders that ""trading prices...may bear little or no relationship to actual recovery, if any"" -- this is a caution, not a confirmed figure; distribution_per_share left UNRESOLVED. https://www.biospace.com/pernix-therapeutics-buys-bankrupt-orexigen-s-weight-loss-drug-for-73-5-million",verified
SEC-SRNE,1,bankruptcy_recovery,2023-02-13,2024-04-10,,SEC-SRNE,SEC-SRNE,,,,,,,,"Sorrento Therapeutics Chapter 11 filed Feb 13 2023, Case 23-90085 (S.D. Tex.; Scilex Holding Co., majority-owned sub, was NOT a debtor). Second Modified Joint Liquidation Plan approved Nov 30 2023, Effective Date Apr 10 2024. Equity interests cancelled but each holder receives a pro rata share of Liquidating Trust recovery -- a non-zero contingent entitlement, not a flat wipeout. Exact realized $/share UNRESOLVED: litigation over Scilex-stock distributions/clawbacks was still unresolved as of 2025. distribution_per_share left UNRESOLVED (magnitude, not existence, is the open question). https://www.marketscreener.com/quote/stock/SORRENTO-THERAPEUTICS-INC-14708339/news/Second-Modified-Joint-Liquidation-Plan-and-DIscllosure-Statement-Approved-for-Sorrento-Therapeutics-45528121/",verified
SEC-PZRX,1,bankruptcy_recovery,2017-12-11,,,SEC-PZRX,SEC-PZRX,,,,,,,,"PhaseRx Inc. Chapter 11 filed Dec 11 2017, Case 17-12890 (D.Del). Roivant Sciences GmbH won the 363 auction (Jan 24/30-31 2018) for $800,000 plus liability assumption; senior secured lender Hercules Capital's cash-collateral rights terminated Jan 30 2018, i.e. proceeds went to Hercules first. A company motion to set a distribution record date of Jan 23 2018 for equity security holders was filed then withdrawn Jan 18 2018; no plan-confirmation order or recovery figure located in accessible sources this pass. distribution_per_share and effective_date left UNRESOLVED. https://www.geekwire.com/2018/phaserx-sells-riovant-sciences-800000-two-months-declaring-bankruptcy/",verified
SEC-LOXO,1,cash_merger,2019-01-07,2019-02-15,2019-02-15,SEC-LOXO,SEC-LOXO,,,,235.00,,,,"Eli Lilly acquires Loxo Oncology; GlobeNewswire announcement 2019-01-07 (https://www.globenewswire.com/news-release/2019/01/07/1681072/0/en/Lilly-Announces-Agreement-To-Acquire-Loxo-Oncology.html), closed 2019-02-15",verified
SEC-ONCE,1,cash_merger,2019-02-25,2019-12-16,2019-12-16,SEC-ONCE,SEC-ONCE,,,,114.50,,,,"CORRECTION: roster record is Spark Therapeutics (ticker ONCE), NOT AveXis (AVXS) -- headline $4.8B and 'Luxturna' description match Spark/Roche, not AveXis/Novartis ($8.7B). Roche definitive merger agreement announced 2019-02-25 (https://www.roche.com/media/releases/med-cor-2019-02-25); $114.50/share cash tender offer; 10-month FTC antitrust delay, tender completed/merger effective 2019-12-16 (BioSpace: 'After Multiple Delays, Roche Completes Acquisition of Spark Therapeutics')",verified
SEC-PTLA,1,cash_merger,2020-05-05,2020-07-02,2020-07-02,SEC-PTLA,SEC-PTLA,,,,18.00,,,,"Alexion to acquire Portola Pharmaceuticals; SEC 8-K Ex 99.1 announcement 2020-05-05 (https://www.sec.gov/Archives/edgar/data/1269021/000110465920059508/tm2018626d6_ex99-1.htm); Alexion Completes Acquisition of Portola, closed 2020-07-02 (https://www.sec.gov/Archives/edgar/data/899866/000110465920080237/tm2018594d24_ex99-1.htm)",verified
SEC-THOR,1,cash_merger,2019-12-08,2020-01-23,2020-01-23,SEC-THOR,SEC-THOR,,,,68.00,,,,"THOR = Synthorx, Inc. (IL-2 immuno-oncology, lead asset THOR-707), acquired by Sanofi; SC TO-T announcement 2019-12-08 (merger agreement dated 2019-12-07) (https://www.sec.gov/Archives/edgar/data/1609727/000119312519324985/d851633dex99a1a.htm); Sanofi Completes Acquisition of Synthorx, closed 2020-01-23 (https://www.sanofi.com/en/media-room/press-releases/2020/2020-01-23-13-52-33-1974331)",verified
SEC-IMMU,1,cash_merger,2020-09-13,2020-10-23,2020-10-23,SEC-IMMU,SEC-IMMU,,,,88.00,,,,"Gilead acquires Immunomedics (Trodelvy); SEC 8-K Ex 99.1 announcement 2020-09-13 (https://www.sec.gov/Archives/edgar/data/722830/000110465920104608/tm2030753d1_ex99-1.htm); Gilead Completes Acquisition of Immunomedics, closed 2020-10-23 (https://www.businesswire.com/news/home/20201023005301/en/Gilead-Sciences-Completes-Acquisition-of-Immunomedics-Inc.)",verified
SEC-TSRO,1,cash_merger,2018-12-03,2019-01-22,2019-01-22,SEC-TSRO,SEC-TSRO,,,,75.00,,,,"GSK acquires TESARO (Zejula); SC TO-T/A announcement 2018-12-03 (https://www.sec.gov/Archives/edgar/data/1491576/000119312519013512/d693898dex99a5k.htm); GSK Completes Acquisition of TESARO, closed 2019-01-22 (https://www.biospace.com/gsk-completes-acquisition-of-tesaro-an-oncology-focused-biopharmaceutical-company)",verified
SEC-ARIA,1,cash_merger,2017-01-09,2017-02-16,2017-02-16,SEC-ARIA,SEC-ARIA,,,,24.00,,,,"Takeda acquires ARIAD Pharmaceuticals (Iclusig, brigatinib); SEC 8-K Ex 99.2 announcement 2017-01-09 (https://www.sec.gov/Archives/edgar/data/0000884731/000110465917001730/a17-1652_1ex99d2.htm); closed 2017-02-16",verified
SEC-ACHN,1,cash_plus_cvr_merger,2019-10-16,2020-01-28,2020-01-28,SEC-ACHN,SEC-ACHN,,,,6.30,"Two milestones, $1.00/share each (max $2.00/share aggregate): (1) ACH-5228 (danicopan/Voydeya predecessor program) clinical trial milestone, deadline 2024-01-28; (2) ACH-4471/danicopan FDA approval, deadline 2024-07-28. Danicopan (Voydeya) received FDA approval 2024-04, before the deadline -- likely triggers the approval-linked CVR -- but actual CVR payment/amount is NOT confirmed to a primary source (SEC 8-K or press release) and the ACH-5228 trial-milestone outcome is unconfirmed.",,,"Alexion acquires Achillion Pharmaceuticals; SEC 8-K announcement 2019-10-16 (https://www.sec.gov/Archives/edgar/data/1070336/000119312519268094/d806799d8k.htm); merger effective 2020-01-28, Alexion press release same day (https://www.sec.gov/Archives/edgar/data/899866/000089986620000005/a8-k01282020.htm)",verified
SEC-MDCO,1,cash_merger,2019-11-24,2020-01-06,2020-01-06,SEC-MDCO,SEC-MDCO,,,,85.00,,,,"Novartis acquires The Medicines Company (inclisiran/Leqvio); merger agreement dated 2019-11-23, announced 2019-11-24; Novartis completes tender offer, closed 2020-01-06 (https://www.globenewswire.com/news-release/2020/01/06/1966217/0/en/Novartis-completes-tender-offer-for-all-outstanding-shares-of-The-Medicines-Company.html)",verified
SEC-ZFGN,1,ticker_change,2019-12-17,2020-05-29,2020-05-29,SEC-ZFGN,SEC-LRMR,,,,,,,,"Zafgen (beloranib program terminated after 2015 patient deaths) reverse-merged with private Chondrial Therapeutics; Zafgen is the surviving public shell -- existing Zafgen shareholders' shares simply continued trading under the new name, diluted by new share issuance to Chondrial holders (6,091,250 new shares) and a concurrent $80M PIPE, but not converted at any ratio. Definitive merger agreement 8-K/DEFA14A 2019-12-17 (https://www.sec.gov/Archives/edgar/data/1374690/000119312519316828/d845901dex991.htm); DEFM14A (https://www.sec.gov/Archives/edgar/data/1374690/000119312520125890/d853876ddefm14a.htm); closed and renamed Larimar Therapeutics, began trading LRMR 2020-05-29 (https://finance.yahoo.com/news/chondrial-therapeutics-zafgen-complete-merger-120010517.html). LRMR still publicly trading as of 2026-07 (Nasdaq, BLA-stage). Chain not extended past LRMR -- out of scope, same convention as CNAT/HSTO.",verified
SEC-SNTA,1,reverse_split,2016-04-13,2016-07-22,2016-07-22,SEC-SNTA,SEC-SNTA,0.028571,,,,,,,Synta Pharmaceuticals (ganetespib GALAXY-2 terminated for futility Oct 2015) reverse merger with private Madrigal Pharmaceuticals; 1-for-35 reverse split of Synta shares effected at close. Announced 2016-04-13/14 (BusinessWire); Synta DEFM14A (https://www.sec.gov/Archives/edgar/data/0001157601/000104746916013711/a2228864zdefm14a.htm); closed 2016-07-22.,verified
SEC-SNTA,2,ticker_change,2016-04-13,2016-07-22,2016-07-22,SEC-SNTA,SEC-MDGL,,,,,,,,"Same transaction as sequence 1: post-split Synta issued 7,253,655 shares to Madrigal holders at exchange rate 0.1593 post-split Synta shares per Madrigal share (Madrigal holders ~64% of combined co.); Synta renamed Madrigal Pharmaceuticals, began post-split trading MDGL 2016-07-25 (https://ir.madrigalpharma.com/news-releases/news-release-details/madrigal-pharmaceuticals-completes-merger-synta-create-leading). MDGL still publicly trading as of 2026-07 (Nasdaq, Rezdiffra/resmetirom commercial). Chain not extended past MDGL -- out of scope.",verified
SEC-REXN,1,reverse_split,2020-06-18,2020-11-05,2020-11-05,SEC-REXN,SEC-REXN,0.25,,,,,,,Rexahn Pharmaceuticals (oncology pipeline failed to advance) reverse merger with private Ocuphire Pharma; 1-for-4 reverse split of Rexahn stock effected immediately before closing. Definitive merger agreement announced 2020-06-18 (https://www.globenewswire.com/news-release/2020/06/18/2049840/0/en/Rexahn-and-Ocuphire-Enter-into-Definitive-Merger-Agreement.html); closed 2020-11-05.,verified
SEC-REXN,2,ticker_change,2020-06-18,2020-11-05,2020-11-05,SEC-REXN,SEC-OCUP,,,,,,,,"Same transaction as sequence 1: post-split Rexahn issued shares to Ocuphire holders at exchange ratio 1.0565 Rexahn shares per Ocuphire share (~86.6% of combined co. to Ocuphire holders); renamed Ocuphire Pharma, began trading OCUP 2020-11-06. Ocuphire (OCUP) still publicly trading as of 2026-07, though it later acquired Opus Genetics (all-stock) and adopted that name/ticker (IRD) effective 2024-10-23 -- an acquisition-and-rename, not a failure. Chain not extended past OCUP -- out of scope.",verified
SEC-ARAV,1,liquidation_distribution,2024-01-12,2024-02-08,,SEC-ARAV,SEC-ARAV,,,,,,,,"Aravive (sole asset batiraxcept failed Phase 3 AXLerate-OC Aug 2023, stock fell 77% in a day) board approved an assignment for the benefit of creditors (ABC) combined with voluntary dissolution 2024-01-12 (8-K https://www.sec.gov/Archives/edgar/data/1513818/000143774924001524/arav20240116c_8k.htm); Form 25 filed ~2024-01-29, Nasdaq delisting effective ~2024-02-08, Form 15 filed same date suspending SEC reporting (https://www.globenewswire.com/news-release/2024/01/17/2811132/0/en/Aravive-Inc-to-Delist-from-The-Nasdaq-Stock-Market.html). No source located confirming any per-share cash distribution to common shareholders -- an ABC structure typically wipes out common equity when assets don't cover creditor claims, but this is NOT confirmed to a primary document, so distribution_per_share is left unresolved rather than assumed $0.",verified
SEC-CERU,1,ticker_change,2017-03-19,2017-07-19,2017-07-19,SEC-CERU,SEC-DARE,,,,,,,,"Cerulean Pharma (CRLX101 failed Phase 2 renal cell/ovarian cancer) reverse merger with private Dare Bioscience; Cerulean's clinical assets sold same-day to BlueLink ($1.5M cash) and its tumor-targeting platform to Novartis before the shell merged with Dare. Board approval/announcement 2017-03-19 (closing 8-K exhibit https://www.sec.gov/Archives/edgar/data/0001401914/000119312517231710/d429909dex991.htm; DEFM14A https://www.sec.gov/Archives/edgar/data/0001401914/000119312517206412/d320129ddefm14a.htm); closed 2017-07-19, former Dare holders received ~51% of combined co. Renamed Dare Bioscience, ticker DARE.",verified
SEC-DARE,2,reverse_split,2017-03-19,2017-07-20,2017-07-20,SEC-DARE,SEC-DARE,0.10,,6.56,,,,,"Same transaction as sequence 1: 1-for-10 reverse split effected 2017-07-20 (day after close), fractional shares cashed out at the $6.56/share closing price, leaving ~6,047,200 shares outstanding (https://www.businesswire.com/news/home/20170719005938/en/Cerulean-Pharma-Dar%C3%A9-Bioscience-Announce-Closing-New). Exact flat per-share exchange ratio for the merger itself was not located in a primary source (only the ~51%/49% ownership-split structure was confirmed) -- not relevant to existing CERU holders' resolve() path since the merger was a ticker_change (no conversion), only the subsequent reverse split affects them. DARE still publicly trading as of 2026-07 (Nasdaq, Ovaprene Phase 3 ongoing). Chain not extended past DARE -- out of scope.",verified
