program_id,decision_date,outcome,decisive_archetype,label_status,decisive_confidence,why_this_archetype_decided,label_source,label_date,pivotal_evidence_event,pivotal_evidence_date,single_question_dominant,competing_archetypes,_seed_rationale,_pool_signals
prexasertib,2020-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 ORR below threshold; CHK1 inhibitor; combination strategies pursued but no path forward,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (BRCA-wt HGSOC),2020-12-31,true,,moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=0 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=low;endpoint=surrogate_validated
brontictuzumab,2018-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] Ph2 failed ORR; Notch pathway; significant toxicity (diarrhea); no biomarker predictive value,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Notch1+ TNBC),2018-12-31,false,TARGET_VALIDITY,safety=concerning(+2->TOLERABILITY_CEILING); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=3 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=concerning;competition=low;endpoint=surrogate_validated
tarextumab,2017-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed PFS in SCLC and pancreatic; Notch2/3 inhibitor; combination with chemo no benefit,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (SCLC / Pancreatic),2017-12-31,true,,moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=0 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=low;endpoint=hard_clinical
ficlatuzumab,2020-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed ORR in biomarker-selected HNSCC; HGF antibody; no clinical signal despite rationale,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (HNSCC),2020-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=surrogate_validated
sapanisertib,2019-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] Ph2 failed multiple indications; mTORC1/2; toxicity profile; no durable responses,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (HCC / TNBC),2019-12-31,false,TARGET_VALIDITY,safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=3 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=concerning;competition=moderate;endpoint=surrogate_validated
refametinib,2020-01-01,failed,TARGET_VALIDITY,seed_review,low,[SEED — REVIEW] Ph2 failed OS in RAS-mutant enriched HCC; MEK inhibitor; biomarker did not predict response,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (HCC RAS-mutant),2020-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(1) second=1 dominant=False,phase=phase_2;moa=partial;biomarker=true;safety=minor;competition=moderate;endpoint=hard_clinical
navicixizumab,2022-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] Ph2 failed PFS vs bevacizumab; Ang2/VEGF bispecific; no differentiation on OS,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Platinum-resistant Ovarian),2022-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~differentiation(+2->DIFFERENTIATION) | top=TARGET_VALIDITY(3) second=3 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=hard_clinical
samotolisib,2022-01-01,failed,TARGET_VALIDITY,seed_review,low,[SEED — REVIEW] Ph2 failed ORR across multiple cohorts; PI3K/mTOR; program deprioritized,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Solid Tumors PIK3CA),2022-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(1) second=1 dominant=False,phase=phase_2;moa=partial;biomarker=true;safety=minor;competition=moderate;endpoint=surrogate_validated
pepinemab,2021-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] Ph2 failed OS; anti-SEMA4D (semaphorin) antibody; immune checkpoint combo; no signal,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC),2021-12-31,false,DIFFERENTIATION,competition=high(+3->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=3 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=clean;competition=high;endpoint=hard_clinical
varlilumab,2019-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed ORR; CD27 agonist; combination with nivolumab; immune agonist approach did not translate,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Ovarian / GBM),2019-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=surrogate_validated
AMG_820,2019-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed ORR in unselected solid tumors; CSF1R mAb; no tumor microenvironment response,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Pancreatic / NSCLC),2019-12-31,true,,moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~target_validity(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(5) second=0 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=low;endpoint=surrogate_validated
figitumumab,2013-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] Ph2 failed ORR in unselected NSCLC; IGF-1R mAb; high toxicity; class-wide validation failure,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC),2013-12-31,false,TOLERABILITY_CEILING,safety=concerning(+2->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING); notes~target_validity(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(5) second=4 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=concerning;competition=high;endpoint=surrogate_validated
dalotuzumab,2014-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed ORR/PFS in unselected CRC; IGF-1R mAb; no biomarker to select responders,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Colorectal),2014-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~target_validity(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(5) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=surrogate_validated
lumretuzumab,2016-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed ORR in HER3-selected NSCLC; glyco-engineered HER3 mAb; biomarker did not enrich,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC HER3+),2016-12-31,true,,moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=0 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=low;endpoint=surrogate_validated
buparlisib,2017-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] BELLE-2 Ph2 failed PFS; pan-PI3K inhibitor; significant CNS toxicity limited clinical benefit,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (HR+ Breast),2017-12-31,false,DIFFERENTIATION,safety=concerning(+2->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=3 dominant=False,phase=phase_2;moa=partial;biomarker=true;safety=concerning;competition=high;endpoint=hard_clinical
pictilisib,2015-01-01,failed,DIFFERENTIATION,seed_review,medium,[SEED — REVIEW] Ph2 failed PFS in PI3K-altered HR+ breast; PI3Kα/δ; insufficient selectivity; class toxicity,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (HR+ Breast),2015-12-31,false,TOLERABILITY_CEILING,competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=DIFFERENTIATION(3) second=2 dominant=False,phase=phase_2;moa=partial;biomarker=true;safety=minor;competition=high;endpoint=surrogate_validated
istiratumab,2019-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] Ph2 failed ORR; bispecific IGF1R/ErbB3 antibody; no differentiation over standard of care,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC),2019-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~differentiation(+2->DIFFERENTIATION) | top=TARGET_VALIDITY(3) second=3 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=surrogate_validated
roniciclib,2016-01-01,failed,TOLERABILITY_CEILING,seed_review,high,[SEED — REVIEW] Ph2 failed PFS in relapsed SCLC; CDK1/2/4 inhibitor; hematologic toxicity; class failed in SCLC,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (SCLC),2016-12-31,true,,safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=2 dominant=True,phase=phase_2;moa=partial;biomarker=false;safety=concerning;competition=moderate;endpoint=hard_clinical
galeterone,2017-01-01,failed,DIFFERENTIATION,seed_review,medium,[SEED — REVIEW] Ph2 failed PSA response vs enzalutamide; androgen synthesis + AR degrader; no OS benefit in CRPC,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (CRPC),2017-12-31,false,TARGET_VALIDITY,competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=DIFFERENTIATION(3) second=2 dominant=False,phase=phase_2;moa=partial;biomarker=false;safety=minor;competition=high;endpoint=surrogate_validated
AMG_386,2015-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed PFS in platinum-sensitive ovarian; Ang-1/2 inhibitor; angiopoietin pathway insufficient monotherapy,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Ovarian),2015-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=clean;competition=moderate;endpoint=hard_clinical
BMS_936559,2016-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Ph2 failed ORR; anti-PD-L1; inferior durability vs pembrolizumab; discontinued for competitive reasons,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC/Melanoma),2016-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=clean;competition=moderate;endpoint=surrogate_validated
sorafenib_tnbc,2013-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] Ph2 failed PFS in TNBC; sorafenib + capecitabine; off-target toxicity; TNBC not a VEGFR indication,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (TNBC),2013-12-31,false,"TOLERABILITY_CEILING,DIFFERENTIATION",safety=concerning(+2->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING); notes~target_validity(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(4) second=4 dominant=False,phase=phase_2;moa=partial;biomarker=false;safety=concerning;competition=high;endpoint=hard_clinical
sapacitabine,2015-01-01,failed,TOLERABILITY_CEILING,seed_review,high,[SEED — REVIEW] Ph2 failed OS in elderly AML; nucleoside analogue; no advantage over azacitidine; poor safety,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (AML_elderly),2015-12-31,true,,safety=concerning(+2->TOLERABILITY_CEILING); moa=partial(+1->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=2 dominant=True,phase=phase_2;moa=partial;biomarker=false;safety=concerning;competition=low;endpoint=hard_clinical
tivantinib_nsclc,2017-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] Ph2 MARQUEE failed OS in MET-high NSCLC; c-MET inhibitor; MET biomarker enrichment insufficient,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC_MET),2017-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(2) second=1 dominant=False,phase=phase_2;moa=novel;biomarker=true;safety=minor;competition=moderate;endpoint=surrogate_validated
taselisib_breast,2018-01-01,failed,TOLERABILITY_CEILING,seed_review,high,[SEED — REVIEW] SANDPIPER failed PFS in PIK3CA-mutant HR+ mBC; PI3Kα/δ inhibitor; serious colitis and hyperglycemia drove discontinuation,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (HR_Breast_PIK3CA),2018-12-31,true,,safety=serious(+3->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(5) second=3 dominant=True,phase=phase_3;moa=partial;biomarker=true;safety=serious;competition=high;endpoint=hard_clinical
buparlisib_breast,2016-01-01,failed,DIFFERENTIATION,seed_review,medium,[SEED — REVIEW] BELLE-2/BELLE-3 failed OS in HR+ mBC; pan-PI3K inhibitor BKM120; serious CNS/psychiatric AEs (Grade 3 depression/anxiety) terminated program,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (HR_Breast),2016-12-31,false,"TOLERABILITY_CEILING,TARGET_VALIDITY",safety=serious(+3->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=DIFFERENTIATION(3) second=3 dominant=False,phase=phase_3;moa=partial;biomarker=false;safety=serious;competition=high;endpoint=hard_clinical
ipatasertib_tnbc,2021-01-01,failed,TOLERABILITY_CEILING,seed_review,high,[SEED — REVIEW] IPATunity130 failed pCR+EFS in PIK3CA-mutant TNBC; AKT inhibitor; Grade 3-4 GI toxicity compromised dosing,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (TNBC_PIK3CA),2021-12-31,true,,safety=serious(+3->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(5) second=3 dominant=True,phase=phase_3;moa=novel;biomarker=true;safety=serious;competition=high;endpoint=hard_clinical
idelalisib_dlbcl,2016-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] NCT02439047 failed OS in R/R DLBCL; PI3Kδ inhibitor; serious Grade 3-4 colitis and pneumonitis; trial halted early for futility and toxicity,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (DLBCL),2016-12-31,false,TARGET_VALIDITY,safety=serious(+3->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING); notes~target_validity(+2->TARGET_VALIDITY) | top=TOLERABILITY_CEILING(5) second=4 dominant=False,phase=phase_3;moa=partial;biomarker=false;safety=serious;competition=high;endpoint=hard_clinical
gedatolisib_breast,2023-01-01,failed,TOLERABILITY_CEILING,seed_review,high,[SEED — REVIEW] Phase 2 failed PFS in PIK3CA-mutant HR+ mBC; PI3K/mTOR dual inhibitor; serious hyperglycemia and stomatitis; program deprioritized,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (HR_Breast_PIK3CA),2023-12-31,true,,safety=serious(+3->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY) | top=TOLERABILITY_CEILING(3) second=1 dominant=True,phase=phase_2;moa=partial;biomarker=true;safety=serious;competition=moderate;endpoint=surrogate_validated
prexasertib_brca,2019-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] LY2880070 Ph2 failed ORR in BRCA-mutant ovarian; CHK1/CHK2 inhibitor; serious Grade 4 myelosuppression (neutropenia) as primary barrier,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (BRCA_Ovarian),2019-12-31,false,TARGET_VALIDITY,safety=serious(+3->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY) | top=TOLERABILITY_CEILING(3) second=2 dominant=False,phase=phase_2;moa=novel;biomarker=true;safety=serious;competition=moderate;endpoint=surrogate_validated
nivolumab_tmb_nsclc,2020-01-01,failed,TARGET_VALIDITY,seed_review,low,[SEED — REVIEW] CheckMate 227 Part 1b OS in TMB-H NSCLC; TMB-H biomarker endpoint failed to validate as surrogate for PFS/OS; OS endpoint not met,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (NSCLC_TMB),2020-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(1) second=1 dominant=False,phase=phase_3;moa=partial;biomarker=true;safety=minor;competition=moderate;endpoint=surrogate_novel
vosaroxin_aml,2015-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] VALOR trial CR rate in R/R AML; DNA intercalator/topoisomerase II inhibitor; CR endpoint met in pre-specified subgroup but overall OS failed; not approved,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (AML_rr),2015-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); endpoint=biomarker_only(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(4) second=1 dominant=True,phase=phase_3;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=biomarker_only
