drug,company,indication,phase_start,outcome,year,moa_precedent,biomarker_enriched,safety_profile,competitive_pressure,endpoint_type,notes
olutasidenib,Forma/Rigel,Relapsed/refractory AML IDH1,phase_2,approved,2022,partial,true,acceptable,low,surrogate_validated,Phase 2: 35% CR+CRh; IDH1 inhibitor; differentiation syndrome risk managed
asciminib,Novartis,CML 3L+ T315I,phase_3,approved,2021,novel,true,acceptable,low,hard_clinical,ASCEMBL: 25% vs 11% MMR at 24w vs bosutinib; STAMP inhibitor first-in-class
tagraxofusp,Stemline,Blastic plasmacytoid dendritic cell neoplasm,phase_2,approved,2019,novel,false,acceptable,low,surrogate_validated,Phase 2: 72% ORR; CD123-targeted therapy; ultra-rare BPDCN first approval
luspatercept AML,Acceleron/BMS,Lower-risk MDS/beta-thal,phase_3,approved,2020,novel,false,clean,low,hard_clinical,MEDALIST: 38% vs 13% RBC-transfusion independence; TGF-beta ligand trap; ESA-refractory
pacritinib,CTI BioPharma,Myelofibrosis with low platelets,phase_3,approved,2022,partial,false,acceptable,moderate,surrogate_validated,PERSIST-2: spleen volume reduction in thrombocytopenic MF; JAK2/IRAK1 inhibitor
gilteritinib salvage,Astellas,AML FLT3-mutant relapsed,phase_3,approved,2018,partial,true,acceptable,low,surrogate_validated,ADMIRAL: 21% vs 11% OS benefit; FLT3 inhibitor; pivotal for relapsed FLT3+ AML
quizartinib,Daiichi Sankyo,AML FLT3-ITD newly diagnosed,phase_3,approved,2023,partial,true,acceptable,moderate,hard_clinical,QuANTUM-First: 22% reduction death risk; selective FLT3-ITD inhibitor; 1L setting
decitabine/cedazuridine,Otsuka/Astex,MDS/CMML,phase_3,approved,2020,partial,false,acceptable,low,surrogate_validated,Phase 3: oral formulation bioequivalent to IV decitabine; DNMT inhibitor + CDA inhibitor
elranatamab,Pfizer,Relapsed/refractory multiple myeloma,phase_2,approved,2023,partial,false,acceptable,moderate,surrogate_validated,MagnetisMM-3: 61% ORR in triple-class refractory MM; BCMA×CD3 bispecific
talquetamab,J&J,Relapsed/refractory multiple myeloma,phase_2,approved,2023,novel,false,acceptable,moderate,surrogate_validated,MonumenTAL-1: 74% ORR in triple-class refractory; GPRC5DxCD3 bispecific first-in-class
teclistamab,J&J,Relapsed/refractory multiple myeloma,phase_2,approved,2022,partial,false,acceptable,moderate,surrogate_validated,MajesTEC-1: 63% ORR in triple-class refractory; BCMA×CD3 bispecific T-cell redirector
glofitamab,Roche,Relapsed/refractory DLBCL,phase_2,approved,2023,partial,false,acceptable,moderate,surrogate_validated,NP30179: 39% CR in R/R DLBCL; CD20×CD3 bispecific; fixed-duration therapy
mosunetuzumab,Roche,Relapsed/refractory follicular lymphoma,phase_2,approved,2022,partial,false,acceptable,low,surrogate_validated,GO29781: 60% ORR in R/R FL; CD20×CD3 bispecific; first fixed-duration bispecific approved
camidanlumab tesirine,ADC Therapeutics,Relapsed/refractory Hodgkin lymphoma,phase_2,failed,2022,partial,false,acceptable,low,surrogate_validated,Phase 2: 70% ORR in HL but CRS/neurotoxicity concerns halted program; CD25-ADC
selinexor,Karyopharm,DLBCL 3L+,phase_2,approved,2019,novel,false,acceptable,low,surrogate_validated,SADAL: 29% ORR in refractory DLBCL; XPO1 inhibitor; accelerated approval
bimekizumab,UCB,Plaque psoriasis (hematology/immunology),phase_3,approved,2023,partial,false,clean,high,hard_clinical,BE VIVID/BE RADIANT: 91% PASI90; IL-17A/F inhibitor; superior to secukinumab
itepekimab,Sanofi,COPD exacerbations,phase_3,failed,2023,novel,false,clean,moderate,hard_clinical,AERIFY-1: failed primary endpoint; anti-IL-33 antibody; no exacerbation reduction in smokers
lusutrombopag,Shionogi,Thrombocytopenia hepatic CLD,phase_3,approved,2018,partial,false,clean,low,hard_clinical,L-PLUS-1/2: reduced platelet transfusions; TPO-R agonist; small molecule oral
avatrombopag,Dova,Thrombocytopenia CLD,phase_3,approved,2018,partial,false,clean,low,hard_clinical,ADAPT-1/2: 88% vs 38% avoided platelet transfusion; TPO-R agonist vs placebo
pracinostat,Helsinn,AML (unfit) + azacitidine,phase_3,failed,2018,partial,false,acceptable,low,hard_clinical,PEREGRINE: no OS benefit added to azacitidine; pan-HDAC inhibitor; negative trial
CC-486 (oral azacitidine),BMS,AML post-remission maintenance,phase_3,approved,2020,partial,false,acceptable,low,hard_clinical,QUAZAR AML-001: 9.9 vs 6.6 months OS benefit; oral HMA maintenance; first post-remission therapy
voxelotor,Global Blood Therapeutics,Sickle cell disease,phase_3,approved,2019,novel,false,acceptable,low,surrogate_validated,HOPE: 65% vs 10% hemoglobin ≥1 g/dL increase; HbS polymerization inhibitor; first for SCD anemia
crizanlizumab,Novartis,Sickle cell disease vaso-occlusive crises,phase_2,approved,2019,novel,false,clean,low,hard_clinical,SUSTAIN: 45% reduction vaso-occlusive crises vs placebo; P-selectin inhibitor; first SCD VOC prevention
mitapivat,Agios,Pyruvate kinase deficiency,phase_3,approved,2022,novel,false,clean,low,hard_clinical,ACTIVATE: 40% vs 0% hemoglobin response; PKR activator; first approved PKD treatment
ropeginterferon alfa-2b,PharmaEssentia,Polycythemia vera,phase_3,approved,2021,partial,false,acceptable,moderate,hard_clinical,PROUD-PV: superior phlebotomy-free rate vs hydroxyurea at 36 months; PEGylated IFN
luspatercept beta-thal,Acceleron/BMS,Beta-thalassemia transfusion-dep,phase_3,approved,2020,novel,false,clean,low,hard_clinical,BELIEVE: 21% vs 4% ≥33% transfusion reduction; TGF-β ligand trap; rare disease
