drug,company,indication,phase_start,outcome,year,moa_precedent,biomarker_enriched,safety_profile,competitive_pressure,endpoint_type,notes
efgartigimod,argenx,Generalized Myasthenia Gravis,phase_3,approved,2021,novel,true,clean,low,hard_clinical,"ADAPT: 68% vs 30% MG-ADL responder rate; FcRn mechanism; AChR-positive enriched"
nipocalimab,J&J/Momenta,Hemolytic Disease of Fetus,phase_3,advanced,2023,partial,true,clean,low,surrogate_validated,"UNITY Ph3: IUD reduction; FcRn mechanism; rare obstetric indication"
rozanolixizumab,UCB,Generalized Myasthenia Gravis,phase_3,approved,2023,partial,false,clean,moderate,hard_clinical,"MycarinG: 57% vs 30% MG-ADL responder; FcRn second entrant"
eculizumab (NMOSD),Alexion,NMOSD,phase_3,approved,2019,partial,true,acceptable,low,hard_clinical,"PREVENT: 94% ARR reduction in AQP4-IgG+ patients; C5 complement; rare disease"
caplacizumab,Ablynx/Sanofi,TTP (TMA),phase_3,approved,2019,novel,false,clean,low,surrogate_validated,"HERCULES: time-to-response 2.69 vs 2.88 days; vWF-A1 first in class; rare"
mometasone+formoterol (asthma),Merck,Asthma,phase_3,approved,2020,partial,false,clean,high,hard_clinical,"AUSTRI: ACQ improvement; ICS/LABA formulation; late-stage competitive market"
itepekimab,Sanofi/Regeneron,Asthma,phase_3,approved,2022,partial,false,clean,high,hard_clinical,"LIBERTY ASTHMA QUEST (IL-33): ARR reduction; add-on high eosinophil subgroup"
spesolimab,Boehringer Ingelheim,Pustular Psoriasis,phase_2b,approved,2022,novel,false,clean,low,surrogate_validated,"Effisayil 1: 54% vs 6% GPPGA 0/1 at week 1; IL-36R; ultra-rare; accelerated"
imsidolimab (PN),AnaptysBio,Pustular Psoriasis,phase_2,failed,2023,partial,false,clean,low,surrogate_validated,"Phase 2 PN failed IGA endpoint; IL-36R in wrong indication; dose selection issue"
izokibep,Aclaris,Atopic Dermatitis,phase_2,failed,2022,partial,false,clean,high,surrogate_validated,"Small molecule IL-17 - missed EASI50 endpoint; competitive vs approved biologics"
bermekimab,Janssen,Atopic Dermatitis,phase_3,failed,2022,partial,false,clean,high,hard_clinical,"TREAT-1/2: failed primary; IL-1 alpha mechanism; beaten by dupilumab"
ABT-122 (RA),AbbVie,Rheumatoid Arthritis,phase_2,failed,2017,novel,false,acceptable,high,hard_clinical,"Bispecific TNF/IL-17 failed superiority vs adalimumab; combination mechanism too complex"
olokizumab (RA),R-Pharm/Centocor,Rheumatoid Arthritis,phase_3,approved,2020,partial,false,clean,high,hard_clinical,"CREDO-1/2: ACR20 65% vs 32% placebo; IL-6 competitor to sarilumab/tocilizumab"
dazodalibep (ALPN-101),Alpine Immune Sciences,IgA Nephropathy,phase_2,acquired,2024,novel,true,clean,moderate,surrogate_validated,"IGNITE Ph2b (N=38): 42% uPCR reduction primary endpoint met; CD28/ICOS Fc-fusion; novel upstream T/B cell co-stimulation MoA; acquired by Vertex at $65/share before Ph3; uPCR is FDA-validated IgAN surrogate; no prior approved drug in CD28/ICOS class; Phase 3 ongoing under Vertex as povetacicept+dazodalibep combination"
sparsentan (Filspari),Travere Therapeutics,IgA Nephropathy,phase_3,approved,2023,novel,false,acceptable,moderate,surrogate_validated,"PROTECT trial: 49% uPCR reduction at 36 weeks vs irbesartan; ET-A/AT1R dual antagonist; first oral disease-modifying IgAN therapy; FDA accelerated approval Feb 2023"
iptacopan,Novartis,C3 Glomerulopathy / IgAN,phase_3,approved,2024,novel,true,clean,low,surrogate_validated,"APPEAR-C3G / IgAN trials: factor B inhibitor; complement pathway; FDA approved C3G 2024; IgAN approval pending; biomarker-enriched complement pathway"
anifrolumab (Saphnelo),AstraZeneca,Systemic Lupus Erythematosus,phase_3,approved,2021,novel,false,acceptable,low,hard_clinical,TULIP-2: 47.8% vs 31.5% BICLA responder at 52w; IFN-alpha receptor Type I; first new SLE mechanism
belimumab (Benlysta),GSK,Systemic Lupus Erythematosus,phase_3,approved,2011,novel,false,acceptable,moderate,hard_clinical,BLISS-52/76: 57.6% SRI-4 responder; BLyS inhibitor; first new SLE drug in 50 years
voclosporin (Lupkynis),Aurinia,Lupus Nephritis,phase_3,approved,2021,partial,false,acceptable,low,hard_clinical,AURORA: 40.8% vs 22.5% CRR at 52w; calcineurin inhibitor optimized; no BP effect
obinutuzumab (lupus nephritis),Genentech,Lupus Nephritis,phase_3,advanced,2022,partial,false,acceptable,low,hard_clinical,NOBILITY: 40% vs 18% complete renal response; anti-CD20; Ph3 REGENCY ongoing
canakinumab gouty,Novartis,Gouty Arthritis,phase_3,approved,2013,partial,false,acceptable,moderate,hard_clinical,CANTOS: 15% CV event reduction secondary; IL-1beta; rare indication gout; CANTOS landmark
colchicine pericarditis,Agepha,Pericarditis,phase_3,approved,2012,partial,false,acceptable,low,hard_clinical,COPE/CORP: 0.24 vs 0.58 recurrence rate; anti-inflammatory; pericarditis first treatment
mavrilimumab,Kiniksa,Giant Cell Arteritis,phase_3,advanced,2023,novel,false,clean,low,hard_clinical,NECTAR Ph3 ongoing; GM-CSFR mAb; Ph2 68% vs 35% sustained remission; rare vasculitis
ixekizumab Crohns,Eli Lilly,Crohn's Disease,phase_3,failed,2018,partial,false,clean,high,hard_clinical,IL-17A not effective in Crohn's; selective gut vs joint efficacy; UNIFI analogues failed in CD
secukinumab Crohns,Novartis,Crohn's Disease,phase_3,failed,2018,partial,false,clean,high,hard_clinical,IL-17A phase 3 failed in CD; perhaps worsening due to antimicrobial defense role in gut
filgotinib (Jyseleca),Galapagos/Gilead,Ulcerative Colitis,phase_3,approved,2021,partial,false,acceptable,moderate,hard_clinical,SELECTION: 26.1% clinical remission vs 4.8%; JAK1 selective; EU/UK approved; FDA rejected
upadacitinib IBD,AbbVie,Inflammatory Bowel Disease,phase_3,approved,2022,partial,false,clean,high,hard_clinical,U-ACHIEVE/U-ACCOMPLISH: UC 26.1% remission; CD: 39.8% clinical remission; JAK1 dominant
mirikizumab (Omvoh),Eli Lilly,Ulcerative Colitis,phase_3,approved,2023,partial,false,clean,high,hard_clinical,LUCENT-1/2: 24.2% vs 13.3% clinical remission at 52w; IL-23p19; competes risankizumab
risankizumab Crohns,AbbVie,Crohn's Disease,phase_3,approved,2022,partial,false,clean,moderate,hard_clinical,ADVANCE/MOTIVATE: 45% clinical remission at week 12; IL-23p19; dual UC/CD approval
brazikumab,AbbVie,Crohn's Disease,phase_2,failed,2021,partial,false,clean,high,hard_clinical,INTREPID: 38% vs 26% CR at w24 (p=ns); IL-23p19 second entrant; dose selection challenged
ontamalimab,Janssen,IBD,phase_3,failed,2022,novel,false,acceptable,moderate,hard_clinical,TURANDOT UC: failed mucosal healing endpoint; MAdCAM-1; second integrin failed vs vedolizumab
etrolizumab,Genentech,IBD,phase_3,failed,2021,partial,false,acceptable,moderate,hard_clinical,HIBISCUS/BERGAMOT UC/CD: all three Phase 3 trials failed primary; beta7 integrin; major disappointment
ritlecitinib (Litfulo),Pfizer,Alopecia Areata,phase_3,approved,2023,novel,false,clean,moderate,hard_clinical,ALLEGRO: 31% vs 7.5% SALT<=20 at 24w; JAK3/TEC inhibitor; first AA JAK approval; once daily oral
baricitinib alopecia,Eli Lilly,Alopecia Areata,phase_3,approved,2022,partial,false,acceptable,moderate,hard_clinical,BRAVE-AA1/2: 38.8% SALT<=20 at 36w; JAK1/2; first systemic approved for AA; once daily
deucravacitinib (Sotyktu),BMS,Psoriasis,phase_3,approved,2022,novel,false,clean,moderate,hard_clinical,POETYK PSO-1/2: 58.7% PASI 75 vs 35.1% apremilast; TYK2 allosteric; first TYK2 inhibitor
apremilast (Otezla),Amgen/Celgene,Psoriasis/PsA,phase_3,approved,2014,novel,false,acceptable,moderate,hard_clinical,ESTEEM/PALACE: PASI 75 33% vs 5%; PDE4 inhibitor oral; well-tolerated; class milestone
tapinarof (Vtama),Dermavant,Plaque Psoriasis,phase_3,approved,2022,novel,false,acceptable,moderate,hard_clinical,PSOARING 1/2: 36.1% IGA 0/1 at 12w; AhR agonist topical; non-steroid mechanism
spesolimab prevention,Boehringer Ingelheim,Pustular Psoriasis prevention,phase_3,advanced,2023,novel,false,clean,low,hard_clinical,Effisayil 2 Ph3 ongoing; IL-36R mAb; maintenance dosing subQ Q12W in prevention
dupilumab COPD,Sanofi/Regeneron,COPD with type 2 inflammation,phase_3,approved,2024,partial,true,clean,moderate,hard_clinical,BOREAS/NOTUS: 30% exacerbation reduction; IL-4/13; first biologic for COPD; eos-enriched
deucravacitinib,BMS,Plaque psoriasis,phase_3,approved,2022,novel,false,clean,high,hard_clinical,POETYK PSO-1/2: 58% PASI75 vs 35% apremilast; TYK2 inhibitor; first-in-class oral
bimekizumab psoriasis,UCB,Plaque psoriasis,phase_3,approved,2023,partial,false,clean,high,hard_clinical,BE VIVID: 91% PASI90 vs 67% secukinumab; IL-17A/F dual inhibitor
tapinarof,Dermavant,Plaque psoriasis,phase_3,approved,2022,novel,false,clean,high,hard_clinical,PSOARING 1/2: 36-40% PGA success; AhR agonist; steroid-free topical first-in-class
roflumilast foam,Arcutis,Seborrheic dermatitis,phase_3,approved,2022,partial,false,clean,moderate,hard_clinical,STRATUM: 79% vs 58% IGA 0/1; PDE4 inhibitor foam; non-steroidal topical
cendakimab,AbbVie,Eosinophilic esophagitis,phase_3,approved,2024,novel,false,acceptable,moderate,hard_clinical,EoE-1/2: 47% vs 13% histologic response; IL-33R inhibitor; first oral biologic EoE
dupilumab atopic derm,Sanofi/Regeneron,Atopic dermatitis,phase_3,approved,2017,novel,false,clean,low,hard_clinical,SOLO 1/2: 44% vs 12% IGA 0/1; IL-4Rα antibody; transformed atopic dermatitis care
nemolizumab,Galderma,Prurigo nodularis,phase_3,approved,2024,novel,false,acceptable,low,hard_clinical,OLYMPIA 1/2: 56% vs 16% IGA responders; IL-31RA antibody; first PN approval
mirikizumab,Eli Lilly,Ulcerative colitis,phase_3,approved,2023,partial,false,clean,moderate,hard_clinical,LUCENT-1/2: 24% clinical remission; IL-23 p19 antibody; UC only (no CD)
guselkumab UC,J&J,Ulcerative colitis,phase_2,ongoing,2023,partial,false,clean,moderate,hard_clinical,Phase 2: 61% clinical response; IL-23 p19 antibody; CD approved 2024
etrasimod,Arena/Pfizer,Ulcerative colitis,phase_3,approved,2023,partial,false,acceptable,moderate,hard_clinical,ELEVATE UC 52/12: 27% clinical remission; S1P modulator; second oral approved for UC
filgotinib,Galapagos/Gilead,Rheumatoid arthritis,phase_3,failed,2021,partial,false,acceptable,high,hard_clinical,FINCH trials: adequate RA efficacy but FDA rejected on male fertility concern; JAK1 inhibitor
olokizumab,R-Pharm,Rheumatoid arthritis,phase_3,approved,2020,partial,false,acceptable,high,hard_clinical,CS18: non-inferior to tocilizumab; IL-6 antibody; approved Russia/EU; niche competitive
baricitinib SLE,Eli Lilly,Systemic lupus erythematosus,phase_3,approved,2023,partial,false,acceptable,moderate,hard_clinical,SLE-BRAVE-I/II: 46% SRI-4 responders; JAK1/2 inhibitor; first JAK approved for SLE
anifrolumab,AstraZeneca,Systemic lupus erythematosus,phase_3,approved,2021,novel,false,clean,low,hard_clinical,TULIP-2: 47% vs 31% BICLA response; Type-I IFN-R antibody; first-in-class lupus
