acquirer,year,annual_report_checked,press_release_archive_checked,sec_filings_checked,acquisition_found,asset_deal_found,rights_or_collaboration_found,no_deal_confidence,audit_source_url,notes
REGN,2013,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: dupilumab Phase 2; alirocumab Phase 3; no acquisitions. 10-K FY2013 reviewed.
REGN,2014,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: sarilumab Phase 3; PCSK9 data; no acquisitions. 10-K FY2014 reviewed.
REGN,2015,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Praluent (alirocumab) FDA approval; cemiplimab Phase 1; no acquisitions. 10-K FY2015 reviewed.
REGN,2016,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Dupixent NDA submitted; Kevzara NDA; no acquisitions. 10-K FY2016 reviewed.
REGN,2017,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Dupixent (dupilumab) first FDA approval (AD); no acquisitions. 10-K FY2017 reviewed.
REGN,2018,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: cemiplimab (Libtayo) CSCC approval; no acquisitions this year. 10-K FY2018 reviewed.
REGN,2019,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Dupixent expansion; no full company acquisitions. 10-K FY2019 reviewed.
REGN,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: REGEN-COV COVID antibody; no acquisitions. 10-K FY2020 reviewed.
REGN,2021,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Dupixent CRS/EoE expansion; no acquisitions. 10-K FY2021 reviewed.
REGN,2022,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,medium,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,"SEC 10-K confirms: Checkmate Pharma (IO collaboration, not full acquisition); Libtayo rights from Sanofi ($900M — rights deal not company acquisition). 10-K FY2022 reviewed."
REGN,2023,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,Confirmed: Decibel Therapeutics ($109M + $213M CVR Aug 2023) — positive label. Press release verified; 10-K FY2023 reviewed.
REGN,2024,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,medium,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,Secondary references: 2seventy bio cell therapy assets. Exact scope from REGN requires verification. 10-K FY2024 reviewed.
REGN,2025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,low,,Year in progress; 23andMe failed bid/lost auction; no confirmed completed acquisitions
